time,Si_oxide,Cr_oxide,Total_oxide
5.57834e-05,1,0,1
0.00276706,2,0,2
0.00514718,3,0,3
0.00635466,4,0,4
0.00641607,5,0,5
0.00738014,6,0,6
0.010133,7,0,7
0.0158286,8,0,8
0.0180387,9,0,9
0.0191428,10,0,10
0.0200536,11,0,11
0.0211861,12,0,12
0.0225939,13,0,13
0.0234884,14,0,14
0.0241728,15,0,15
0.0242873,16,0,16
0.0245242,17,0,17
0.0248744,18,0,18
0.0281491,19,0,19
0.0283759,20,0,20
0.0284726,20,1,21
0.0308755,21,1,22
0.0328958,22,1,23
0.0344825,23,1,24
0.0349018,23,2,25
0.0350624,24,2,26
0.03563,25,2,27
0.0358278,26,2,28
0.0368392,27,2,29
0.0384539,28,2,30
0.038501,29,2,31
0.0393398,30,2,32
0.040748,30,3,33
0.0417018,30,4,34
0.0417998,31,4,35
0.0420571,32,4,36
0.0423164,33,4,37
0.0424009,34,4,38
0.0430271,35,4,39
0.0491463,36,4,40
0.0510464,37,4,41
0.0521101,38,4,42
0.0523231,39,4,43
0.0551381,40,4,44
0.0555479,41,4,45
0.0559436,42,4,46
0.0568122,42,5,47
0.0570764,43,5,48
0.0572311,43,6,49
0.0599346,44,6,50
0.0599771,45,6,51
0.0616096,46,6,52
0.0626862,47,6,53
0.0640411,48,6,54
0.064099,49,6,55
0.0651649,50,6,56
0.0664368,51,6,57
0.0679961,52,6,58
0.068751,53,6,59
0.0742283,54,6,60
0.0771735,54,7,61
0.082233,54,8,62
0.0830901,55,8,63
0.0834148,56,8,64
0.0857541,57,8,65
0.0859585,58,8,66
0.0863491,59,8,67
0.0886309,60,8,68
0.0896956,61,8,69
0.0912448,62,8,70
0.092602,63,8,71
0.0926303,64,8,72
0.0933273,65,8,73
0.093456,65,9,74
0.0948247,65,10,75
0.0972577,66,10,76
0.0985452,67,10,77
0.0994068,68,10,78
0.100071,69,10,79
0.101381,70,10,80
0.104196,71,10,81
0.106333,72,10,82
0.10852,73,10,83
0.109275,74,10,84
0.109622,75,10,85
0.109673,76,10,86
0.109851,77,10,87
0.109975,77,11,88
0.113274,78,11,89
0.116881,78,12,90
0.119436,78,13,91
0.119779,79,13,92
0.120835,80,13,93
0.122834,80,14,94
0.125105,81,14,95
0.126895,81,15,96
0.127516,82,15,97
0.129105,83,15,98
0.129622,84,15,99
0.132754,85,15,100
0.134514,86,15,101
0.134755,87,15,102
0.135685,88,15,103
0.138333,89,15,104
0.138746,90,15,105
0.140043,91,15,106
0.140143,92,15,107
0.140314,93,15,108
0.140821,94,15,109
0.143935,95,15,110
0.144034,96,15,111
0.14438,96,16,112
0.144911,97,16,113
0.145658,97,17,114
0.146121,98,17,115
0.148778,99,17,116
0.149052,100,17,117
0.151367,101,17,118
0.151674,102,17,119
0.153047,103,17,120
0.156239,104,17,121
0.156372,105,17,122
0.156503,106,17,123
0.157438,107,17,124
0.15772,108,17,125
0.157957,109,17,126
0.159665,110,17,127
0.160459,110,18,128
0.160826,111,18,129
0.16124,112,18,130
0.162637,113,18,131
