X,Y,Z,Trace,GradX,GradY,GradZ
2.00E-05,2.00E-05,2.00E-05,1797.216936,0.125357424,0.430440447,0.893871656
2.00E-05,2.00E-05,4.00E-05,1791.774704,0.274660573,0.961199791,-0.025622882
2.00E-05,2.00E-05,6.00E-05,1776.522967,0.259415168,0.96424708,-0.054141841
2.00E-05,2.00E-05,8.00E-05,1747.92596,0.225451415,0.967132876,-0.117582569
2.00E-05,2.00E-05,0.0001,1682.152843,0.155986339,0.961317675,-0.227016719
2.00E-05,2.00E-05,0.00012,1573.426391,0.021168373,0.909958777,-0.41415809
2.00E-05,2.00E-05,0.00014,1385.311857,-0.199708364,0.823983265,-0.53025291
2.00E-05,2.00E-05,0.00016,1241.713173,-0.554896136,0.716565893,-0.422638852
2.00E-05,2.00E-05,0.00018,1148.765491,-0.677998926,0.643979733,-0.354411568
2.00E-05,2.00E-05,0.0002,1064.681819,-0.788697183,0.521170208,-0.326095642
2.00E-05,2.00E-05,0.00022,987.8928187,-0.87777284,0.37463219,-0.298606034
2.00E-05,2.00E-05,0.00024,904.9108129,-0.832774875,0.477388706,-0.280332002
2.00E-05,2.00E-05,0.00026,804.0637035,-0.891666817,0.263440509,-0.368143159
2.00E-05,2.00E-05,0.00028,635.5833992,-0.908463762,0.005699186,-0.417924769
2.00E-05,2.00E-05,0.0003,433.5433314,-0.89170514,-0.284796856,-0.351785011
2.00E-05,2.00E-05,0.00032,255.1289341,-0.903318215,-0.386041185,-0.187051881
2.00E-05,2.00E-05,0.00034,206.3146389,-0.916175814,-0.396260161,-0.059998027
2.00E-05,2.00E-05,0.00036,178.4575841,-0.921030065,-0.387494027,-0.039395414
2.00E-05,2.00E-05,0.00038,155.2244095,-0.924401845,-0.381228857,-0.01207425
2.00E-05,2.00E-05,0.0004,162.9928051,-0.927951028,-0.372293706,0.017443811
2.00E-05,2.00E-05,0.00042,176.5230479,-0.936050866,-0.351671547,0.011657603
2.00E-05,2.00E-05,0.00044,176.5230479,-0.938314932,-0.34578185,0
2.00E-05,2.00E-05,0.00046,176.5230479,-0.537410685,-0.191313253,0.821333668
2.00E-05,4.00E-05,2.00E-05,1804.237189,0.146643046,0.0062574,0.989169683
2.00E-05,4.00E-05,4.00E-05,1793.348865,0.990950381,0.01112542,-0.133766842
2.00E-05,4.00E-05,6.00E-05,1774.154092,0.965438726,-0.043472106,-0.25697907
2.00E-05,4.00E-05,8.00E-05,1733.090556,0.842405531,-0.157219581,-0.515397831
2.00E-05,4.00E-05,0.0001,1657.628295,0.550155582,-0.244218505,-0.798552539
2.00E-05,4.00E-05,0.00012,1538.199612,0.096173674,-0.263483013,-0.959857972
2.00E-05,4.00E-05,0.00014,1374.679125,-0.40577141,-0.156775336,-0.900428263
2.00E-05,4.00E-05,0.00016,1234.731547,-0.726374228,-0.147226981,-0.671345438
