X,Y,Z,Trace,GradX,GradY,GradZ
4.30E-06,5.10E-06,1.20E-06,844.3858007,-0.394739867,0.074633987,0.91575663
4.30E-06,5.10E-06,2.64E-05,789.0780709,-0.987732009,0.152721312,-0.032583405
4.30E-06,5.10E-06,5.15E-05,750.9285949,-0.988092061,0.153230007,-0.013951463
4.30E-06,5.10E-06,7.67E-05,746.5997919,-0.979377828,0.202036929,0.000387871
4.30E-06,5.10E-06,0.000101895,752.1243806,-0.962579385,0.270934112,-0.00596949
4.30E-06,5.10E-06,0.000127068,728.4695117,-0.951833374,0.304768149,-0.033609563
4.30E-06,5.10E-06,0.000152242,653.0873354,-0.95631457,0.28280573,-0.074049728
4.30E-06,5.10E-06,0.000177416,519.2906023,-0.966060814,0.228967155,-0.119584891
4.30E-06,5.10E-06,0.000202589,327.7580597,-0.972833542,0.163191313,-0.16420565
4.30E-06,5.10E-06,0.000227763,81.44246551,-0.974702363,0.091614599,-0.203867775
4.30E-06,5.10E-06,0.000252937,-217.2070845,-0.971460981,0.015776601,-0.236674166
4.30E-06,5.10E-06,0.000278111,-568.0879998,-0.962793566,-0.063828631,-0.262591804
4.30E-06,5.10E-06,0.000303284,-974.7756044,-0.947855429,-0.147422434,-0.282553909
4.30E-06,5.10E-06,0.000328458,-1445.398052,-0.925262543,-0.235677011,-0.297229832
4.30E-06,5.10E-06,0.000353632,-1992.629615,-0.89348291,-0.32900968,-0.305681075
4.30E-06,5.10E-06,0.000378805,-2630.669202,-0.851954276,-0.426790454,-0.303354281
4.30E-06,5.10E-06,0.000403979,-3361.89238,-0.80183738,-0.527548111,-0.280623961
4.30E-06,5.10E-06,0.000429153,-4141.074559,-0.852114887,-0.456502274,-0.25594119
4.30E-06,5.10E-06,0.000454326,-4814.557874,-0.866259903,-0.472928596,-0.161035163
4.30E-06,5.10E-06,0.0004795,-5122.617216,-0.643049396,-0.370475039,0.67025049
4.30E-06,3.07E-05,1.20E-06,738.383235,-0.44966643,-0.031741932,0.892632372
4.30E-06,3.07E-05,2.64E-05,635.8231035,-0.994782481,-0.08658346,-0.053954796
4.30E-06,3.07E-05,5.15E-05,565.9866446,-0.99529513,-0.095526256,-0.016196842
4.30E-06,3.07E-05,7.67E-05,578.5887339,-0.995993376,-0.087943238,0.016222893
4.30E-06,3.07E-05,0.000101895,622.9166301,-0.997209527,-0.073269847,0.01430692
4.30E-06,3.07E-05,0.000127068,626.2130915,-0.997754515,-0.064129054,-0.019323379
4.30E-06,3.07E-05,0.000152242,561.5425484,-0.995921738,-0.0624078,-0.06515488
4.30E-06,3.07E-05,0.000177416,426.769398,-0.991430949,-0.066077858,-0.112687133
4.30E-06,3.07E-05,0.000202589,225.8926656,-0.984744808,-0.073387151,-0.157771953
4.30E-06,3.07E-05,0.000227763,-36.93932686,-0.976643308,-0.08328055,-0.198071198
4.30E-06,3.07E-05,0.000252937,-359.766256,-0.967857457,-0.095326911,-0.232733156
4.30E-06,3.07E-05,0.000278111,-744.6985398,-0.958597571,-0.109753336,-0.262763968
4.30E-06,3.07E-05,0.000303284,-1200.095788,-0.948298337,-0.127607885,-0.290596786
4.30E-06,3.07E-05,0.000328458,-1743.564899,-0.935582094,-0.151152472,-0.319122353
