X,Y,Z,stress
5.00E-05,5.00E-05,5.00E-05,638.8381252
5.00E-05,5.00E-05,0.0001,603.5814089
5.00E-05,5.00E-05,0.00015,588.366896
5.00E-05,5.00E-05,0.0002,598.6437863
5.00E-05,5.00E-05,0.00025,617.7531878
5.00E-05,5.00E-05,0.0003,625.1489311
5.00E-05,5.00E-05,0.00035,632.5446744
5.00E-05,5.00E-05,0.0004,639.9404178
5.00E-05,5.00E-05,0.00045,648.2299618
5.00E-05,5.00E-05,0.0005,657.049912
5.00E-05,5.00E-05,0.00055,665.8698622
5.00E-05,5.00E-05,0.0006,674.6898124
5.00E-05,5.00E-05,0.00065,683.5097626
5.00E-05,5.00E-05,0.0007,692.3297128
5.00E-05,5.00E-05,0.00075,723.4266001
5.00E-05,5.00E-05,0.0008,714.5297536
5.00E-05,5.00E-05,0.00085,675.9297501
5.00E-05,0.0001,5.00E-05,595.6727821
5.00E-05,0.0001,0.0001,461.6700574
5.00E-05,0.0001,0.00015,445.7402657
5.00E-05,0.0001,0.0002,460.7126627
5.00E-05,0.0001,0.00025,488.3767541
5.00E-05,0.0001,0.0003,550.7550069
5.00E-05,0.0001,0.00035,573.4909397
5.00E-05,0.0001,0.0004,582.1133053
5.00E-05,0.0001,0.00045,590.7356709
5.00E-05,0.0001,0.0005,599.3580365
5.00E-05,0.0001,0.00055,607.9804021
5.00E-05,0.0001,0.0006,616.6027677
5.00E-05,0.0001,0.00065,625.2251333
5.00E-05,0.0001,0.0007,633.8474989
5.00E-05,0.0001,0.00075,667.6718245
5.00E-05,0.0001,0.0008,657.0100087
5.00E-05,0.0001,0.00085,633.4709394
5.00E-05,0.0001,0.0009,630.165168
5.00E-05,0.0001,0.00095,632.9488542
5.00E-05,0.00015,5.00E-05,468.1628445
5.00E-05,0.00015,0.0001,422.5941818
5.00E-05,0.00015,0.00015,432.9615919
5.00E-05,0.00015,0.0002,457.2693588
5.00E-05,0.00015,0.00025,489.9525897
5.00E-05,0.00015,0.0003,478.7365307
5.00E-05,0.00015,0.00035,475.8550244
5.00E-05,0.00015,0.0004,525.6747523
5.00E-05,0.00015,0.00045,534.2971179
5.00E-05,0.00015,0.0005,542.9194835
5.00E-05,0.00015,0.00055,551.5418491
5.00E-05,0.00015,0.0006,560.1642147
5.00E-05,0.00015,0.00065,568.7865803
